City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Hatchback,75140,1,Maruti,Maruti Baleno,0.8157894736842053,1197,1.2 Delta,Comprehensive,4.0,Red,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.816811365057347,83.1,False,False,False,True,True,0,0,11,43,13,1,67,152
Bangalore,Hatchback,88000,1,Chevrolet,Chevrolet Beat,0.6842105263157876,1199,LT,Third Party insurance,4.0,Blue,4.0,Smartech Engine,5,0.08377358490566038,108.0,-3.730037001169373,79.4,False,False,False,True,True,0,0,2,3,452,4,6,119
Bangalore,Hatchback,73969,1,Hyundai,Hyundai i20,0.8157894736842053,1197,Asta 1.2,Comprehensive,4.0,Red,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.667871158897689,81.83,False,False,False,True,True,0,0,6,36,321,1,67,102
Bangalore,Sedan,62598,1,Hyundai,Hyundai Verna,0.8157894736842053,1591,1.6 VTVT S,Comprehensive,4.0,Silver,4.0,VTVT Petrol Engine,5,0.0717735849056604,154.9,-2.647032078937368,121.3,False,False,False,True,True,0,3,6,33,247,1,69,147
Bangalore,Sedan,70000,2,Toyota,Toyota Corolla Altis,0.8421052631578902,1798,1.8 VL CVT,Third Party insurance,4.0,Others,4.0,2ZR-FE Petrol Engine,5,0.05116981132075471,173.0,-2.0942827975053064,138.03,False,False,False,True,False,0,3,17,79,265,4,53,47
Bangalore,Hatchback,72338,1,Maruti,Maruti Swift,0.8157894736842053,1197,VXI,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.8523492450856027,88.5,False,False,False,True,True,0,0,11,52,656,1,69,83
Bangalore,Hatchback,41000,2,Honda,Honda Brio,0.7105263157894726,1198,V AT ,Comprehensive,4.0,Silver,4.0,SOHC i-VTEC,5,0.08226415094339622,109.0,-3.1639266077721744,86.8,False,False,False,True,False,0,0,5,21,609,1,69,118
Bangalore,Hatchback,70000,2,Hyundai,Hyundai i10,0.6315789473684177,1197,Magna AT,Third Party insurance,4.0,Others,4.0,In-Line Engine,5,0.08830188679245284,11.4,-3.6668152133035976,80.0,False,False,False,True,False,0,0,6,35,474,4,53,80
Bangalore,Sedan,25887,1,Maruti,Maruti Swift Dzire,0.8947368421052602,1298,ZXi,Comprehensive,4.0,Orange,4.0,In-Line Engine,5,0.07547169811320754,114.0,-2.8046655861787886,85.8,False,False,False,True,True,0,3,11,53,742,1,51,80
Bangalore,Sedan,40000,1,Honda,Honda City,0.8157894736842053,1497,i VTEC V,Third Party insurance,4.0,Others,4.0,i VTEC Engine,5,0.07773584905660379,145.0,-2.7219518338080375,117.3,False,False,False,True,True,0,3,5,22,770,4,53,162
Bangalore,Hatchback,50000,1,Maruti,Maruti Swift,0.7894736842105203,1248,VDI BSIV,Third Party insurance,4.0,Others,4.0,DDiS Diesel Engine,5,0.13358490566037734,190.0,-3.151651665326781,74.0,True,False,False,False,True,0,0,11,52,622,4,53,62
